Member_number,Date,itemDescription
2120014903,07/01/2021,Vegetable
2120014903,07/01/2021,Vegetable
2120014903,07/01/2021,Vegetable
2120014903,07/01/2021,Egg
2120014903,07/01/2021,Vegetable
2120014903,07/01/2021,Beverage
2120014904,07/01/2021,Vegetable
2120014904,07/01/2021,Vegetable
2120014904,07/01/2021,Vegetable
2120014904,07/01/2021,Vegetable
2120014905,07/01/2021,Vegetable
2120014905,07/01/2021,Instant Noodles/Pasta/Soup
2120014905,07/01/2021,Cosmetics/Personal Hygiene
2120014905,07/01/2021,Biscuits
2120014905,07/01/2021,Wheat
2120014905,07/01/2021,Misc. Household
2120014906,07/01/2021,Cleaning Products
2120014906,07/01/2021,Pulses
2120014907,07/01/2021,Vegetable
2120014907,07/01/2021,Vegetable
2120014907,07/01/2021,Vegetable
2120014907,07/01/2021,Water
2120014907,07/01/2021,Milk
2120014908,07/01/2021,Chocolate
2120014909,07/01/2021,Cleaning Products
2120014909,07/01/2021,Instant Noodles/Pasta/Soup
2120014909,07/01/2021,Pulses
2120014910,07/01/2021,Milk
2120014910,07/01/2021,Milk
2120014911,07/01/2021,Misc. Household
2120014911,07/01/2021,Vegetable
2120014911,07/01/2021,Curd
2120014911,07/01/2021,Yogurt
2120014912,07/01/2021,Cleaning Products
2120014912,07/01/2021,Cleaning Products
2120014913,07/01/2021,Vegetable
2120014913,07/01/2021,Vegetable
2120014914,07/01/2021,Instant Noodles/Pasta/Soup
2120014914,07/01/2021,Beverage
2120014915,07/01/2021,Instant Noodles/Pasta/Soup
2120014915,07/01/2021,Bread
2120014915,07/01/2021,Instant Noodles/Pasta/Soup
2120014916,07/01/2021,Indian snacks
2120014916,07/01/2021,Vegetable
2120014916,07/01/2021,Tea
2120014916,07/01/2021,Curd
2120014916,07/01/2021,Milk
2120014917,07/01/2021,Butter
2120014918,07/01/2021,Milk
2120014918,07/01/2021,Curd
2120014918,07/01/2021,Yogurt
2120014919,07/01/2021,Milk
2120014919,07/01/2021,Other flours
2120014919,07/01/2021,Other flours
2120014919,07/01/2021,Milk
2120014920,07/01/2021,Cheese
2120014921,07/01/2021,Chocolate
2120014922,07/01/2021,Other Groceries
2120014922,07/01/2021,Biscuits
2120014922,07/01/2021,Curd
2120014923,07/01/2021,Milk
2120014924,07/01/2021,Ice cream
2120014925,07/01/2021,Milk
2120014926,07/01/2021,Cleaning Products
2120014926,07/01/2021,Tea
2120014926,07/01/2021,Misc. Household
2120014926,07/01/2021,Misc. Household
2120014927,07/01/2021,Other Groceries
2120014927,07/01/2021,Poha
2120014928,07/01/2021,Vegetable
2120014928,07/01/2021,Dry fruits/nuts
2120014928,07/01/2021,Pulses
2120014928,07/01/2021,Instant Noodles/Pasta/Soup
2120014928,07/01/2021,Biscuits
2120014928,07/01/2021,Biscuits
2120014928,07/01/2021,Bread
2120014928,07/01/2021,Indian snacks
2120014928,07/01/2021,Seeds/Spices
2120014929,07/01/2021,Milk
2120014929,07/01/2021,Bread
2120014929,07/01/2021,Curd
2120014930,07/01/2021,Milk
2120014930,07/01/2021,Curd
2120014930,07/01/2021,Milk
2120014930,07/01/2021,Curd
2120014931,07/01/2021,Biscuits
2120014931,07/01/2021,Bread
2120014931,07/01/2021,Idli/Dosa Batter
2120014932,07/01/2021,Dry fruits/nuts
2120014933,07/01/2021,Cleaning Products
2120014933,07/01/2021,Milk
2120014934,07/01/2021,Beverage
2120014935,07/01/2021,Chocolate
2120014935,07/01/2021,Chocolate
2120014936,07/01/2021,Water
2120014937,07/01/2021,Seeds/Spices
2120014937,07/01/2021,Seeds/Spices
2120014938,07/01/2021,Egg
2120014939,07/01/2021,Seeds/Spices
2120014939,07/01/2021,Jaggery
2120014939,07/01/2021,Jaggery
2120014939,07/01/2021,Dry fruits/nuts
2120014939,07/01/2021,Dry fruits/nuts
2120014939,07/01/2021,Dry fruits/nuts
2120014939,07/01/2021,Dry fruits/nuts
2120014939,07/01/2021,Seeds/Spices
2120014939,07/01/2021,Dry fruits/nuts
2120014939,07/01/2021,Sauces/pastes/spread/pickle
2120014939,07/01/2021,Seeds/Spices
2120014939,07/01/2021,Dry fruits/nuts
2120014939,07/01/2021,Seeds/Spices
2120014940,07/01/2021,Chocolate
2120014941,07/01/2021,Cream
2120014942,07/01/2021,Seeds/Spices
2120014943,08/01/2021,Bread
2120014944,08/01/2021,Egg
2120014945,08/01/2021,Seeds/Spices
2120014946,08/01/2021,Vegetable
2120014946,08/01/2021,Vegetable
2120014946,08/01/2021,Vegetable
2120014947,08/01/2021,Vegetable
2120014947,08/01/2021,Seeds/Spices
2120014948,08/01/2021,Instant Noodles/Pasta/Soup
2120014949,08/01/2021,Egg
2120014949,08/01/2021,Vegetable
2120014949,08/01/2021,Cosmetics/Personal Hygiene
2120014949,08/01/2021,Cosmetics/Personal Hygiene
2120014949,08/01/2021,Biscuits
2120014949,08/01/2021,Seeds/Spices
2120014949,08/01/2021,Indian snacks
2120014949,08/01/2021,Indian snacks
2120014949,08/01/2021,Indian snacks
2120014950,08/01/2021,Misc. Household
2120014951,08/01/2021,Dry fruits/nuts
2120014951,08/01/2021,Vegetable
2120014951,08/01/2021,Cleaning Products
2120014951,08/01/2021,Cleaning Products
2120014952,08/01/2021,Wheat
2120014953,08/01/2021,Indian snacks
2120014953,08/01/2021,Indian snacks
2120014954,08/01/2021,Cleaning Products
2120014954,08/01/2021,Cleaning Products
2120014955,08/01/2021,Ice cream
2120014955,08/01/2021,Paneer/Tofu/Khova
2120014956,08/01/2021,Water
2120014957,08/01/2021,Milk
2120014957,08/01/2021,Cooking Oil
2120014957,08/01/2021,Milk
2120014957,08/01/2021,Milk
2120014958,08/01/2021,Chocolate
2120014959,08/01/2021,Egg
2120014959,08/01/2021,Curd
2120014960,08/01/2021,Butter
2120014961,08/01/2021,Curd
2120014962,08/01/2021,Vegetable
2120014962,08/01/2021,Vegetable
2120014962,08/01/2021,Chocolate
2120014962,08/01/2021,Biscuits
2120014962,08/01/2021,Chocolate
2120014962,08/01/2021,Biscuits
2120014962,08/01/2021,Beverage
2120014962,08/01/2021,Curd
2120014962,08/01/2021,Sauces/pastes/spread/pickle
2120014962,08/01/2021,Sauces/pastes/spread/pickle
2120014962,08/01/2021,Indian snacks
2120014963,08/01/2021,Vegetable
2120014963,08/01/2021,Vegetable
2120014964,08/01/2021,Vegetable
2120014965,08/01/2021,Tea
2120014965,08/01/2021,Coffee
2120014966,08/01/2021,Chocolate
2120014966,08/01/2021,Chips
2120014966,08/01/2021,Beverage
2120014966,08/01/2021,Ice cream
2120014966,08/01/2021,Chips
2120014966,08/01/2021,Beverage
2120014967,08/01/2021,Sauces/pastes/spread/pickle
2120014967,08/01/2021,Other flours
2120014968,08/01/2021,Bread
2120014969,08/01/2021,Water
2120014969,08/01/2021,Milk
2120014970,08/01/2021,Cosmetics/Personal Hygiene
2120014970,08/01/2021,Indian snacks
2120014971,08/01/2021,Chips
2120014972,08/01/2021,Indian snacks
2120014972,08/01/2021,Biscuits
2120014972,08/01/2021,Biscuits
2120014972,08/01/2021,Biscuits
2120014972,08/01/2021,Indian snacks
2120014972,08/01/2021,Milk
2120014973,08/01/2021,Water
2120014974,08/01/2021,Misc. Household
2120014974,08/01/2021,Seeds/Spices
2120014974,08/01/2021,Seeds/Spices
2120014974,08/01/2021,Seeds/Spices
2120014974,08/01/2021,Egg
2120014974,08/01/2021,Sugar
2120014974,08/01/2021,Other Groceries
2120014974,08/01/2021,Cleaning Products
2120014974,08/01/2021,Cleaning Products
2120014974,08/01/2021,Biscuits
2120014974,08/01/2021,Cleaning Products
2120014974,08/01/2021,Sauces/pastes/spread/pickle
2120014974,08/01/2021,Cleaning Products
2120014974,08/01/2021,Cleaning Products
2120014974,08/01/2021,Cheese
2120014974,08/01/2021,Jaggery
2120014974,08/01/2021,Wheat
2120014974,08/01/2021,Biscuits
2120014974,08/01/2021,Other Groceries
2120014974,08/01/2021,Misc. Household
2120014974,08/01/2021,Cleaning Products
2120014974,08/01/2021,Milk
2120014974,08/01/2021,Seeds/Spices
2120014974,08/01/2021,Seeds/Spices
2120014974,08/01/2021,Seeds/Spices
2120014974,08/01/2021,Seeds/Spices
2120014974,08/01/2021,Seeds/Spices
2120014974,08/01/2021,Other flours
2120014975,08/01/2021,Indian snacks
2120014975,08/01/2021,Chips
2120014975,08/01/2021,Chips
2120014975,08/01/2021,Chips
2120014975,08/01/2021,Indian snacks
2120014976,08/01/2021,Bread
2120014976,08/01/2021,Seeds/Spices
2120014976,08/01/2021,Indian snacks
2120014976,08/01/2021,Indian snacks
2120014977,08/01/2021,Chips
2120014977,08/01/2021,Chips
2120014977,08/01/2021,Indian snacks
2120014978,08/01/2021,Tea
2120014978,08/01/2021,Chocolate
2120014978,08/01/2021,Milk
2120014978,08/01/2021,Cooking Oil
2120014979,08/01/2021,Water
2120014980,08/01/2021,Sugar
2120014981,08/01/2021,Vegetable
2120014982,08/01/2021,Cheese
2120014983,08/01/2021,Milk
2120014984,08/01/2021,Bread
2120014985,08/01/2021,Biscuits
2120014985,08/01/2021,Biscuits
2120014985,08/01/2021,Biscuits
2120014985,08/01/2021,Biscuits
2120014985,08/01/2021,Bread
2120014985,08/01/2021,Biscuits
2120014985,08/01/2021,Biscuits
2120014985,08/01/2021,Biscuits
2120014986,08/01/2021,Vegetable
2120014987,08/01/2021,Vegetable
2120014987,08/01/2021,Breakfast Cereal
2120014988,08/01/2021,Pulses
2120014989,08/01/2021,Beverage
2120014990,08/01/2021,Beverage
2120014991,08/01/2021,Jaggery
2120014991,08/01/2021,Dry fruits/nuts
2120014991,08/01/2021,Seeds/Spices
2120014991,08/01/2021,Biscuits
2120014991,08/01/2021,Biscuits
2120014991,08/01/2021,Milk
2120014991,08/01/2021,Biscuits
2120014991,08/01/2021,Butter
2120014991,08/01/2021,Other Groceries
2120014991,08/01/2021,Misc. Household
2120014991,08/01/2021,Poha
2120014992,08/01/2021,Balance from previous month
2120014993,08/01/2021,Coffee
2120014994,08/01/2021,Other Groceries
2120014994,08/01/2021,Cosmetics/Personal Hygiene
2120014995,08/01/2021,Stationary
2120014995,08/01/2021,Vegetable
2120014995,08/01/2021,Vegetable
2120014995,08/01/2021,Vegetable
2120014995,08/01/2021,Vegetable
2120014995,08/01/2021,Vegetable
2120014995,08/01/2021,Vegetable
2120014995,08/01/2021,Vegetable
2120014995,08/01/2021,Vegetable
2120014995,08/01/2021,Vegetable
2120014995,08/01/2021,Milk
2120014995,08/01/2021,Milk
2120014995,08/01/2021,Cosmetics/Personal Hygiene
2120014996,08/01/2021,Cosmetics/Personal Hygiene
2120014996,08/01/2021,Milk
2120014997,08/01/2021,Rice
2120014997,08/01/2021,Vegetable
2120014997,08/01/2021,Sauces/pastes/spread/pickle
2120014997,08/01/2021,Paneer/Tofu/Khova
2120014997,08/01/2021,Sugar
2120014998,08/01/2021,Egg
2120014999,08/01/2021,Paneer/Tofu/Khova
2120015000,09/01/2021,Curd
2120015001,09/01/2021,Balance from previous month
2120015002,09/01/2021,Bread
2120015002,09/01/2021,Tissues
2120015002,09/01/2021,Water
2120015003,09/01/2021,Milk
2120015003,09/01/2021,Paneer/Tofu/Khova
2120015003,09/01/2021,Milk
2120015003,09/01/2021,Milk
2120015003,09/01/2021,Curd
2120015004,09/01/2021,Water
2120015005,09/01/2021,Paneer/Tofu/Khova
2120015005,09/01/2021,Curd
2120015006,09/01/2021,Beverage
2120015007,09/01/2021,Ice cream
2120015007,09/01/2021,Ice cream
2120015008,09/01/2021,Egg
2120015008,09/01/2021,Bread
2120015009,09/01/2021,Cosmetics/Personal Hygiene
2120015009,09/01/2021,Biscuits
2120015009,09/01/2021,Biscuits
2120015009,09/01/2021,Biscuits
2120015009,09/01/2021,Cleaning Products
2120015009,09/01/2021,Idli/Dosa Batter
2120015010,09/01/2021,Tea
2120015011,09/01/2021,Pulses
2120015011,09/01/2021,Pulses
2120015011,09/01/2021,Pulses
2120015011,09/01/2021,Pulses
2120015012,09/01/2021,Water
2120015012,09/01/2021,Rice
2120015013,09/01/2021,Misc. Household
2120015014,09/01/2021,Egg
2120015014,09/01/2021,Ice cream
2120015014,09/01/2021,Curd
2120015014,09/01/2021,Ice cream
2120015015,09/01/2021,Vegetable
2120015015,09/01/2021,Vegetable
2120015016,09/01/2021,Vegetable
2120015016,09/01/2021,Cosmetics/Personal Hygiene
